,Unnamed: 0,badge,firstname,lastname,middle,scopus,score,match_1
757,757,51803,Kamel,Fezzaa,,6603537713,1,Kamel Fezzaa
758,758,51972,Christopher,Powell,,14421322200,1,Christopher Powell
759,759,46907,Robert,Sharp,,7201356693,1,Robert Sharp
760,760,51648,Filip,Kondev,G,7006526900,0.965517241,Filip G. Kondev
761,761,51695,Charlie,Catlett,,6602740089,1,Charlie Catlett
763,763,96773,Michael,Kalensky,,55658777300,1,Michael Kalensky
767,767,52377,Thomas,Fors,L,6603222181,0.916666667,Thomas Fors
774,774,86103,Daniel,Haskel,,56208193100,1,Daniel Haskel
775,775,86209,Robert,Winarski,P,6603540364,0.971428571,Robert P. Winarski
776,776,51719,Suzanne,Te Velthuis,G,6701340733,0.954545455,Suzanne G E Te Velthuis
777,777,51924,Sven,Leyffer,,6602803678,1,Sven Leyffer
778,778,52828,Edward,O'Loughlin,J,7004458394,0.974358974,Edward J. O'Loughlin
779,779,51344,Wenhua,Yu,,36060618300,1,Wenhua Yu
780,780,86795,Zahirul,Islam,,7004024667,1,Zahirul Islam
781,781,52487,Andrew,Siegel,,23013084100,1,Andrew Siegel
782,782,52838,William,Allcock,E,6507968836,0.971428571,William E. Allcock
783,783,52044,Artem,Gelis,V,6505893256,0.962962963,Artem V. Gelis
784,784,52624,Brahim,Mustapha,,6701811931,1,Brahim Mustapha
785,785,51900,Tae,Lee,H,24451644200,0.947368421,Tae H. Lee
786,786,52385,Xian-He,Sun,,56155631700,0.909090909,Xian He Sun
789,789,23821,William,Soppet,K,6602767231,0.96969697,William K. Soppet
792,792,52459,Brett,Hansard,W,54893137800,0.928571429,Brett Hansard
793,793,87062,Joseph,Strzalka,W,6602695758,0.971428571,Joseph W. Strzalka
794,794,52443,Gyorgy,Babnigg,,6602108264,1,Gyorgy Babnigg
797,797,51702,Andrew,Johnson,N,7410014830,0.933333333,Andrew Johnson
798,798,86591,Yejun,Feng,,8528279400,1,Yejun Feng
799,799,52313,Gerardo,Aliberti,,7006426504,1,Gerardo Aliberti
800,800,52211,Yang,Ren,,56399849200,1,Yang Ren
802,802,52423,Kawtar,Hafidi,,34570410000,1,Kawtar Hafidi
811,811,29317,James,Liljegren,C,6603954927,0.971428571,James C. Liljegren
813,813,51396,John,Arrington,R,56265155800,0.96969697,John R. Arrington
814,814,51357,Paul,Fischer,F,34975048600,0.965517241,Paul F. Fischer
815,815,32953,Michael,Davis,J,55234837900,0.967741935,Michael J. Davis
816,816,86312,Jan,Ilavsky,,7006521592,1,Jan Ilavsky
817,817,51672,Zhan,Zhang,,55606660000,1,Zhan Zhang
818,818,86662,Youngchang,Kim,,56465185900,1,Youngchang Kim
819,819,52312,Patrick,De Lurgio,M,6506270354,0.974358974,Patrick M. De Lurgio
820,820,52793,Edward,Hoffman,A,7401713377,0.96969697,Edward A. Hoffman
821,821,86310,Diego,Casa,M,7004374102,0.96,Diego M. Casa
824,824,42748,Paul,Hovland,,6603319606,1,Paul Hovland
825,825,52376,Mark,Williamson,A,7202991015,0.971428571,Mark A. Williamson
826,826,52721,Philip,Carns,H,6507336251,0.965517241,Philip H. Carns
827,827,52412,Robert,Jacob,L,55165863400,0.965517241,Robert L. Jacob
829,829,52538,Chris,Benmore,J,7003748350,0.967741935,Chris J. Benmore
830,830,52915,Elizabeth,Glass,M,8263075700,0.971428571,Elizabeth M. Glass
832,832,51691,Thomas,Elmer,W,15765249800,0.965517241,Thomas W. Elmer
833,833,42331,Michael,Borland,D,56427726700,0.9375,Michael Borland
837,837,37511,Stephen,Gray,K,7402556178,0.965517241,Stephen K. Gray
838,838,41568,Valerii,Vinokour,,7005560410,0.967741935,Valerii Vinokur
839,839,44990,Lahsen,Assoufid,,6603067124,1,Lahsen Assoufid
840,840,45059,Ilya,Shkrob,A,35594699300,0.962962963,Ilya A. Shkrob
843,843,50192,John,Vaughey,T,35507960900,0.965517241,John T. Vaughey
844,844,32357,Linda,Winkler,,7005978763,1,Linda Winkler
845,845,32613,Michael,Norman,R,7202959735,0.96969697,Michael R. Norman
846,846,32865,Richard,Vilim,B,6603914360,0.967741935,Richard B. Vilim
847,847,32915,Rick,Stevens,L,7403202225,0.965517241,Rick L. Stevens
848,848,40190,John,Stillman,A,7006822625,0.967741935,John A. Stillman
852,852,85124,Gary,Navrotski,,6505824371,1,Gary Navrotski
856,856,36710,Terri,Patton,L,7006107548,0.965517241,Terri L. Patton
861,861,45600,Christopher,Grandy,,6508256539,1,Christopher Grandy
864,864,40818,Barry,Lai,,56375008200,1,Barry Lai
872,872,46698,David,Chojnowski,B,23110484500,0.972972973,David B. Chojnowski
874,874,23312,Shuh-Haw,Sheen,,7006636781,0.928571429,Shuh Haw Sheen
876,876,27450,Ralph,Fabian,R,10039935600,0.923076923,Ralph Fabian
877,877,32753,Karen,Byrum,,35353772500,1,Karen Byrum
880,880,49118,Dohn,Arms,A,6601975328,0.956521739,Dohn A. Arms
882,882,41722,Barry,Smith,F,7501688679,0.962962963,Barry F. Smith
884,884,6113,Kent,Orlandini,A,7004764209,0.96969697,Kent A. Orlandini
885,885,23381,David,Engel,M,56343322100,0.962962963,David M. Engel
886,886,23698,Richard,Pardo,C,7006813297,0.967741935,Richard C. Pardo
887,887,36992,Ju,Wang,,56025141100,1,Ju Wang
889,889,47433,David,Keavney,J,6701528042,0.967741935,David J. Keavney
890,890,47518,Geoffery,Pile,,6602642614,0.923076923,Geoffrey Pile
891,891,44504,Timothy,Marin,W,6701528712,0.967741935,Timothy W. Marin
893,893,49842,Mark,Hereld,,6701813795,1,Mark Hereld
897,897,40216,Deborah,Myers,J,7401484454,0.967741935,Deborah J. Myers
898,898,18175,Floyd,Dunn,E,7101738536,0.96,Floyd E. Dunn
899,899,22320,George,Fenske,R,7006442240,0.967741935,George R. Fenske
900,900,35064,Henning,Esbensen,,7006803760,1,Henning Esbensen
901,901,35733,Ralph,Butler,M,7401524302,0.923076923,Ralph Butler
904,904,42081,George,Srajer,,7003797820,1,George Srajer
906,906,46183,Alexei,Koshelev,E,7006836494,0.971428571,Alexei E. Koshelev
908,908,49793,Stephen,Klippenstein,J,7003582226,0.977777778,Stephen J. Klippenstein
910,910,11762,Arthur,Wright,E,7403737832,0.967741935,Arthur E. Wright
911,911,31265,Anant,Vyas,D,7005118721,0.96,Anant D. Vyas
912,912,33124,Hussein,Khalil,S,7102229404,0.96969697,Hussein S. Khalil
915,915,38839,Guokui,Liu,,15839976600,1,Guokui Liu
916,916,26694,Edgar,Morris,E,7202980809,0.965517241,Edgar E. Morris
917,917,26729,David,Cook,R,56210623600,0.96,David R. Cook
918,918,27470,John,Peterson,M,13608007400,0.928571429,John Peterson
921,921,21068,Michael,Billone,C,7004858702,0.971428571,Michael C. Billone
922,922,23546,Yoon Il,Chang,,7501844515,1,Yoon Il Chang
923,923,23878,Timothy,Martin,J,7403463046,0.909090909,Timothy A. Martin
924,924,24407,Randall,Winans,E,7005284841,0.96969697,Randall E. Winans
925,925,27678,Ronald,Whitfield,G,7005615103,0.972972973,Ronald G. Whitfield
927,927,46785,Kurt,Goetze,A,6602804240,0.962962963,Kurt A. Goetze
928,928,23921,Karl,Grimm,N,7005252888,0.909090909,Karl Grimm
930,930,36591,Roy,Lindley,A,36059571700,0.962962963,Roy A. Lindley
933,933,41458,Thomas,Taxon,N,14020462800,0.965517241,Thomas N. Taxon
934,934,47333,Yoichi,Momozaki,,6506595112,1,Yoichi Momozaki
935,935,49827,Stephan,Rosenkranz,,11042595300,1,Stephan Rosenkranz
936,936,85360,Sergey,Stepanov,A,56217313200,0.9375,Sergey Stepanov
937,937,15971,Victor,Maroni,A,7004962820,0.967741935,Victor A. Maroni
938,938,46299,Andrzej,Joachimiak,,26540762500,1,Andrzej Joachimiak
940,940,33659,Cosmas,Zachos,K,6603604639,0.967741935,Cosmas K. Zachos
941,941,33898,Stephen,Southworth,H,7003560829,0.975609756,Stephen H. Southworth
945,945,41078,Gregory,Krumdick,K,6507929836,0.972972973,Gregory K. Krumdick
948,948,30139,Mitchell,Farmer,T,7102225282,0.9375,Mitchell Farmer
949,949,12812,William,Lawrence,,7203020883,0.914285714,William P. Lawrence
952,952,34946,David,Tiede,M,7005198619,0.962962963,David M. Tiede
953,953,48160,Rajeev,Thakur,,56511230300,1,Rajeev Thakur
954,954,85273,Chris,Jacobsen,J,7201705346,0.96969697,Chris J. Jacobsen
958,958,41865,Jiangang,Sun,,55716212300,1,Jiangang Sun
960,960,40466,Richard,Fenner,B,25635382400,0.903225806,Richard Brenner
961,961,50419,Joseph,Insley,A,6701354577,0.967741935,Joseph A. Insley
963,963,50582,Oleg,Poluektov,G,7003459513,0.96969697,Oleg G. Poluektov
968,968,43076,Carol,Mertz,J,7004216518,0.962962963,Carol J. Mertz
971,971,14368,Edmond,Berger,L,7202374243,0.967741935,Edmond L. Berger
972,972,31609,Renato,Chiarizia,,7006395512,1,Renato Chiarizia
973,973,31663,Robert,Klingler,J,6701808631,0.971428571,Robert J. Klingler
974,974,85108,Jonathan,Tischler,Z,7004078316,0.974358974,Jonathan Z. Tischler
975,975,85110,Alec,Sandy,R,6603616812,0.96,Alec R. Sandy
976,976,40289,Robert,Sullivan,G,7402484827,0.971428571,Robert G. Sullivan
980,980,19717,Gerard,Hofman,L,7007148486,0.967741935,Gerard L. Hofman
981,981,20472,Dwight,Diercks,R,7003765442,0.933333333,Dwight Diercks
983,983,85162,Douglas,Robinson,S,7404643643,0.972972973,Douglas S. Robinson
984,984,85192,Robert,Fischetti,F,6601964701,0.972972973,Robert F. Fischetti
985,985,43919,Prakash,Thimmapuram,R,6506764393,0.976744186,Prakash R. Thimmapuram
988,988,50137,Nada,Dimitrijevic,,13908112900,1,Nada Dimitrijevic
995,995,49921,Veerabhadra,Kotamarthi,R,6603968694,0.979591837,Veerabhadra R. Kotamarthi
996,996,15623,Arne,Olson,P,8424083500,0.909090909,Arne Olson
1000,1000,30378,David,Poyer,A,6505827149,0.962962963,David A. Poyer
1001,1001,30557,Thomas,Veselka,D,6602276047,0.96969697,Thomas D. Veselka
1002,1002,31706,Nicholas,Karonis,T,6602317206,0.972972973,Nicholas T. Karonis
1006,1006,26110,James,Sienicki,J,7004206676,0.96969697,James J. Sienicki
1007,1007,36569,Robert,Blair,E,35226978500,0.923076923,Robert Blair
1009,1009,16081,William,Buehring,A,6602847828,0.941176471,William Buehring
1011,1011,49845,Osman,Eryilmaz,L,6602683367,0.96969697,Osman L. Eryilmaz
1012,1012,50562,Jun,Qian,,56539156900,1,Jun Qian
1014,1014,44265,Raymond,Ziegler,,23112102100,1,Raymond Ziegler
1016,1016,44103,Michael,Kaminski,D,7202547789,0.972972973,Michael D. Kaminski
1018,1018,15127,Frank,Fradin,Y,6603720838,0.965517241,Frank Y. Fradin
1022,1022,50247,Guy,Savard,,7004317352,1,Guy Savard
1023,1023,43751,Michael,Wang,Q,56274554300,0.965517241,Michael Q. Wang
1024,1024,85149,Herman,Cease,P,8870225600,0.923076923,Herman Cease
1026,1026,34596,Wei,Gai,,56426834900,1,Wei Gai
1027,1027,34965,Charles,Kurtz,A,8452518600,0.967741935,Charles A. Kurtz
1029,1029,49281,Kenneth,Kemner,M,7004105725,0.96969697,Kenneth M. Kemner
1031,1031,48842,Hong,Zheng,,24279131900,1,Hong Zheng
1032,1032,17191,Donald,Graczyk,G,6603944243,0.96969697,Donald G. Graczyk
1036,1036,35894,John,Muntean,V,6602690934,0.965517241,John V. Muntean
1038,1038,37438,Mary,Bitz,A,36713059900,0.916666667,Mary Ann Bitz
1044,1044,47275,Paul,Redfern,C,7005328003,0.965517241,Paul C. Redfern
1048,1048,42376,John,Weizeorick,,6504668337,1,John Weizeorick
1050,1050,36070,Bradley,Micklich,J,6701518698,0.972972973,Bradley J. Micklich
1051,1051,42680,Hubert,Ley,,25632250800,1,Hubert Ley
1052,1052,50830,Lisa,Gades,,36600281400,1,Lisa Gades
1054,1054,48829,Bryant,Polzin,J,6506366771,0.967741935,Bryant J. Polzin
1056,1056,42496,Shenglan,Xu,,7404439385,1,Shenglan Xu
1057,1057,13385,Bruce,Zabransky,J,6602971840,0.971428571,Bruce J. Zabransky
1058,1058,13549,Frank,Lenkszus,R,6701918488,0.933333333,Frank Lenkszus
1062,1062,43343,Richard,Rosenberg,A,8510375100,0.974358974,Richard A. Rosenberg
1066,1066,40498,Gary,Henriksen,L,7006966453,0.933333333,Gary Henriksen
1067,1067,22784,Roy,Benedek,,7003941122,1,Roy Benedek
1069,1069,23254,Saurindranath,Majumdar,,7402094219,1,Saurindranath Majumdar
1070,1070,23307,Gilbert,Bassett,W,56195163800,0.9375,Gilbert Bassett
1076,1076,47353,Rodney,Gerig,E,6603555951,0.965517241,Rodney E. Gerig
1078,1078,21964,Arlene,Wagner,M,7401456953,0.928571429,Arlene Wagner
1079,1079,22765,Eugene,Koehl,R,6507547194,0.965517241,Eugene R. Koehl
1083,1083,43488,Dean,Walters,,7201742967,1,Dean Walters
1087,1087,49917,Ahmet,Alatas,,6603038758,1,Ahmet Alatas
1088,1088,50655,Arthur,Kropf,J,7003641366,0.965517241,Arthur J. Kropf
1090,1090,50431,Jason,Clark,A,35486955500,0.962962963,Jason A. Clark
1093,1093,44778,Stephan,Ginell,L,6602085446,0.96969697,Stephan L. Ginell
1094,1094,46746,Paul,Hewett,L,35884612300,0.916666667,Paul Hewett
1095,1095,49821,Thomas,Gog,,8340736700,1,Thomas Gog
1097,1097,50351,Lisa,Childers,C,36701009400,0.967741935,Lisa C. Childers
1100,1100,39768,Joseph,Libera,A,35230297700,0.967741935,Joseph A. Libera
1103,1103,46118,Joseph,Xu,Z,15924419400,0.956521739,Joseph Z. Xu
1104,1104,46153,Jorge,Alvarado,S,7006237972,0.96969697,Jorge S. Alvarado
1105,1105,46170,Christopher,Marshall,L,56539304900,0.977777778,Christopher L. Marshall
1106,1106,46475,Steve,Heald,M,24430263800,0.962962963,Steve M. Heald
1107,1107,46502,Bingxin,Yang,,8520311000,1,Bingxin Yang
1108,1108,36065,J,Indacochea,E,7004090135,0.933333333,J. E. Indacochea
1109,1109,40834,Jeffrey,Collins,T,7404950849,0.918918919,Jeffrey Todd Collins
1110,1110,40854,Glenn,Decker,,56427674300,1,Glenn Decker
1115,1115,22948,Earl,Feldman,E,7201917394,0.965517241,Earl E. Feldman
1122,1122,85323,Eric,Dufresne,,7003399434,1,Eric Dufresne
1123,1123,43502,Linda,Hansen,H,36715086400,0.965517241,Linda H. Hansen
1124,1124,12928,William,Haberichter,N,8670633500,0.95,William Haberichter
1126,1126,28616,Michael,Pellin,J,7006064025,0.96969697,Michael J. Pellin
1128,1128,48560,Mihai,Anitescu,,6604042478,1,Mihai Anitescu
1132,1132,40961,James,Willit,L,7801494255,0.965517241,James L. Willit
1134,1134,46321,Daniel,Rosenmann,,13605449700,1,Daniel Rosenmann
1135,1135,9086,Marianne,Schiffer,,7006325744,1,Marianne Schiffer
1137,1137,16193,Steven,Lottes,A,6701726859,0.967741935,Steven A. Lottes
1139,1139,49166,Igor,Aronson,,7004303880,0.916666667,Igor Aranson
1142,1142,17818,Walter,Henning,F,7004967629,0.96969697,Walter F. Henning
1144,1144,20562,Geoffrey,Bodwin,T,6602131879,0.971428571,Geoffrey T. Bodwin
1145,1145,85105,Hawoong,Hong,,7401521398,1,Hawoong Hong
1146,1146,37706,Uthamalingam,Balachandran,,7102102838,1,Uthamalingam Balachandran
1148,1148,50400,Soenke,Seifert,,7004426564,1,Soenke Seifert
1149,1149,50691,Boris,Deriy,N,6602209175,0.916666667,Boris Deriy
1153,1153,85304,Dale,Brewe,L,7005991288,0.96,Dale L. Brewe
1156,1156,29531,Mark,Beno,A,7006476314,0.956521739,Mark A. Beno
1161,1161,41185,Ike,Therios,U,6701814231,0.962962963,Ike U. Therios
1162,1162,50241,Gary,Drake,R,7103221164,0.96,Gary R. Drake
1165,1165,46730,Mark,Erdmann,J,8215770600,0.923076923,Mark Erdmann
1166,1166,46738,YuPo,Lin,,55544131400,1,YuPo Lin
1167,1167,14297,Michael,Krumpelt,,24603412500,1,Michael Krumpelt
1168,1168,14446,Jerry,Nolen,A,7006045062,0.962962963,Jerry A. Nolen
1169,1169,37211,Jeffrey,Eastman,A,35500636200,0.971428571,Jeffrey A. Eastman
1171,1171,46454,Michael,Thackeray,M,7007035499,0.974358974,Michael M. Thackeray
1176,1176,38044,David,Tomasko,,7003672083,1,David Tomasko
1177,1177,50705,Kristen,De La Rosa,G,55452671200,0.975609756,Kristen G. De La Rosa
1179,1179,85567,Bernhard,Adams,W,7202518864,0.96969697,Bernhard W. Adams
1180,1180,50877,Kwang-Je,Kim,,36071233800,0.916666667,Kwang Je Kim
1181,1181,34072,Urs,Geiser,W,7005965885,0.909090909,Urs Geiser
1182,1182,35456,Robert,Hill,N,55451541800,0.962962963,Robert N. Hill
1187,1187,27967,Yung,Liu,Y,56426004900,0.952380952,Yung Y. Liu
1188,1188,39116,Patricia,Fernandez,B,24472556300,0.947368421,Patricia Fernandez
1191,1191,31426,Stephen,Pratt,T,55424919000,0.967741935,Stephen T. Pratt
1192,1192,31610,Robert,Janssens,V,7101871975,0.944444444,Robert V F Janssens
1195,1195,21214,Marquis,Kirk,A,7202651635,0.965517241,Marquis A. Kirk
1196,1196,29910,Nestor,Zaluzec,J,7005694831,0.96969697,Nestor J. Zaluzec
1197,1197,30388,Jerry,Hunt,E,7402692717,0.96,Jerry E. Hunt
1199,1199,30981,Ewing,Lusk,L,7007102373,0.96,Ewing L. Lusk
1200,1200,31373,Ken,Lerner,,55985106100,1,Ken Lerner
1206,1206,42985,Thomas,Toellner,,7003842422,0.909090909,Thomas S. Toellner
1212,1212,27348,Dieter,Wolf,,55957129700,1,Dieter Wolf
1213,1213,38797,Dean,Carbaugh,A,55437445500,0.928571429,Dean Carbaugh
1217,1217,33301,Eve,Kovacs,,56392502800,1,Eve Kovacs
1218,1218,24676,Douglas,Sisterson,L,7004207046,0.944444444,Douglas Sisterson
1219,1219,24753,David,Malon,M,6602195421,0.916666667,David Malon
1220,1220,9258,Sandra,Tollaksen,L,7004155730,0.972972973,Sandra L. Tollaksen
1227,1227,23299,Jang,Park,Y,15036087600,0.916666667,Jang Yul Park
1230,1230,23315,Sheldon,Lee,H,56443447400,0.928571429,Sheldon H D Lee
1232,1232,26812,James,Bailey,L,7404351363,0.965517241,James L. Bailey
1234,1234,26816,Michael,Paul,,56044440100,1,Michael Paul
1235,1235,50531,Sergey,Chemerisov,D,6602743694,0.974358974,Sergey D. Chemerisov
1237,1237,85283,John,Okasinski,S,6507529509,0.96969697,John S. Okasinski
1238,1238,50679,Stephen,Tschopp,L,24823301300,0.9375,Stephen Tschopp
1239,1239,85498,Kenneth,Poeppelmeier,R,7005439009,0.977777778,Kenneth R. Poeppelmeier
1240,1240,85743,Evguenia,Karapetrova,,7801399344,1,Evguenia Karapetrova
1243,1243,26396,Edward,May,N,16019822800,0.96,Edward N. May
1245,1245,45637,David,Horner,A,7006157614,0.965517241,David A. Horner
1246,1246,47937,Dariusz,Seweryniak,,7007069613,1,Dariusz Seweryniak
1251,1251,38598,Zheng-Tian,Lu,,25630720300,0.923076923,Zheng Tian Lu
1252,1252,47933,Michael,Hu,Y,56467595200,0.96,Michael Y. Hu
1259,1259,37874,Ali,Erdemir,,56404227900,1,Ali Erdemir
1261,1261,35899,Paul,Reimer,E,7103071885,0.962962963,Paul E. Reimer
1262,1262,47852,Sarvjit,Shastri,D,7004455114,0.971428571,Sarvjit D. Shastri
1263,1263,50671,Michel,Van Veenendaal,A,6604007249,0.954545455,Michel Van Veenendaal
1265,1265,40366,Elizabeth,Hocking,K,6507067787,0.974358974,Elizabeth K. Hocking
1267,1267,51218,Terry,Cruse,A,35569552700,0.962962963,Terry A. Cruse
1269,1269,50130,Xiaoping,Wang,,8534074300,1,Xiaoping Wang
1271,1271,26650,Patric,Den Hartog,,56414597700,1,Patric Den Hartog
1278,1278,34061,Wai-Kwong,Kwok,,17233741000,0.928571429,Wai Kwong Kwok
1279,1279,34417,Lynda,Soderholm,,7006412985,1,Lynda Soderholm
1280,1280,34640,Maury,Goodman,C,8373351800,0.928571429,Maury Goodman
1281,1281,35852,John,Krummel,R,6603051259,0.965517241,John R. Krummel
1282,1282,50123,Robert,Lill,M,7004400589,0.962962963,Robert M. Lill
1283,1283,23844,George,Vandegrift,F,7003442496,0.974358974,George F. Vandegrift
1284,1284,50126,Mahalingam,Balasubramanian,,8454827200,1,Mahalingam Balasubramanian
1285,1285,26382,Theodore,Bauer,H,7202749738,0.96969697,Theodore H. Bauer
1286,1286,26988,Adrian,Tentner,M,6602498592,0.933333333,Adrian Tentner
1287,1287,27077,Mark,Bragen,J,6507654992,0.916666667,Mark Bragen
1288,1288,27288,Birger,Back,B,7006319580,0.962962963,Birger B. Back
1289,1289,29327,Edward,Tanzman,A,56039903600,0.96969697,Edward A. Tanzman
1290,1290,41170,Leonard,Morrison,H,55240970200,0.941176471,Leonard Morrison
1293,1293,41981,Pete,Jemian,R,6602398876,0.962962963,Pete R. Jemian
1294,1294,19973,Richard,Talaga,L,7003800385,0.933333333,Richard Talaga
1297,1297,51141,Jeffrey,Spangenberger,S,18635538700,0.978723404,Jeffrey S. Spangenberger
1301,1301,26247,John,Basco,K,6506857322,0.96,John K. Basco
1302,1302,38076,Shabbir,Ahmed,,56443133800,1,Shabbir Ahmed
1303,1303,38229,Steven,Tuecke,J,6602740450,0.928571429,Steven Tuecke
1307,1307,45192,Mark,Nutt,,36816303000,1,Mark Nutt
1310,1310,46756,Beihai,Ma,,7403300990,1,Beihai Ma
1311,1311,5958,Murray,Peshkin,,56249317600,1,Murray Peshkin
1313,1313,48924,Satish,Balay,,6508064768,1,Satish Balay
1314,1314,48956,Oleg,Makarov,A,23015550500,0.965517241,Oleg A. Makarov
1315,1315,34184,Charley,Yu,,56217453600,1,Charley Yu
1317,1317,36125,Christine,Snyder,T,8396925900,0.972972973,Christine T. Snyder
1318,1318,36485,Theodore,Krause,R,7101722259,0.971428571,Theodore R. Krause
1320,1320,44183,Christopher,Johnson,,55613232083,1,Christopher Johnson
1323,1323,50781,Jorg,Maser,M,7004515096,0.909090909,Jorg Maser
1325,1325,47384,Grazyna,Joachimiak,,26659396300,1,Grazyna Joachimiak
1326,1326,40969,John,Stevens,G,7403175357,0.965517241,John G. Stevens
1327,1327,49734,Francesco,De Carlo,,7004183597,1,Francesco De Carlo
1328,1328,50874,Peter,Zapol,,56233990400,1,Peter Zapol
1329,1329,50174,Todd,Munson,S,7006227000,0.962962963,Todd S. Munson
1330,1330,24735,Charles,Macal,M,6602115360,0.967741935,Charles M. Macal
1334,1334,42078,Robert,Johnson,L,55574221453,0.96969697,Robert L. Johnson
1343,1343,18889,Robert,Stanek,W,7005660596,0.928571429,Robert Stanek
1344,1344,37785,Helmut,Claus,,56230558100,1,Helmut Claus
1345,1345,40750,Linda,Pierce,M,55545677800,0.923076923,Linda Pierce
1350,1350,50607,Paul,Fenter,A,56275978900,0.962962963,Paul A. Fenter
1351,1351,50579,Laura,Maggos,E,55228694200,0.965517241,Laura E. Maggos
1355,1355,47796,Sunita,Kamboj,,7003707173,1,Sunita Kamboj
1359,1359,25256,Marshall,Mendelsohn,H,7102449336,0.976744186,Marshall H. Mendelsohn
1361,1361,37270,Joe,Michael,V,55934455800,0.962962963,Joe V. Michael
1363,1363,41835,Dean,Bass,A,7102465326,0.956521739,Dean A. Bass
1365,1365,41877,Dean,Haeffner,R,7004144279,0.967741935,Dean R. Haeffner
1367,1367,45134,Edgar,Portante,C,24587970700,0.96969697,Edgar C. Portante
1369,1369,50153,Stuart,Martin,J,55450129900,0.928571429,Stuart Martin
1371,1371,38323,Raymond,Osborn,,56504800000,1,Raymond Osborn
1378,1378,41901,Tim,Mooney,M,6701328933,0.96,Tim M. Mooney
1381,1381,50987,Rachel,Koritala,E,6701606975,0.971428571,Rachel E. Koritala
1382,1382,85816,Paul,Fuoss,H,6701592196,0.96,Paul H. Fuoss
1383,1383,50934,Douglas,Longman,E,6602746690,0.971428571,Douglas E. Longman
1384,1384,85172,Gabrielle,Long,G,7402510511,0.96969697,Gabrielle G. Long
1389,1389,15349,David,Smith,Y,55553742384,0.916666667,David Smith
1391,1391,40113,Seth,Snyder,W,25224042000,0.962962963,Seth W. Snyder
1393,1393,231580,Cong,Liu,,56216246000,1,Cong Liu
1397,1397,237592,Daikang,Yan,,56522235600,1,Daikang Yan
1402,1402,241170,Sheng,Di,,22733353300,1,Sheng Di
1403,1403,237801,Jinhua,Huang,,56525526100,1,Jinhua Huang
1414,1414,239098,Wanjun,Jiang,,56413506600,1,Wanjun Jiang
1417,1417,234554,Nathan,Roberts,V,55994256400,0.96969697,Nathan V. Roberts
1418,1418,232739,Weihuan,Zhao,,55358855300,1,Weihuan Zhao
1419,1419,232281,Michael,Thompson,L,56405884500,0.941176471,Michael Thompson
1423,1423,241915,Sunhwan,Jo,,23985000000,1,Sunhwan Jo
1430,1430,233146,Prithwish,Kundu,,56425487600,1,Prithwish Kundu
1435,1435,237003,Cheng,Wang,,54918345600,1,Cheng Wang
1438,1438,239882,Jian,Qin,,55940005500,1,Jian Qin
1440,1440,271421,Xu,Yang,,56145966500,1,Xu Yang
1441,1441,237937,Alexander,Landera,,7005978476,0.9375,Alexander Landa
1442,1442,234199,Marco,Verdicchio,,56487618200,1,Marco Verdicchio
1447,1447,233794,Janardhan,Kodavasal,,54890749900,1,Janardhan Kodavasal
1451,1451,234122,Joong Sun,Park,,35180103400,1,Joong Sun Park
1454,1454,237251,Youssef,Nashed,S,55201868000,0.941176471,Youssef S G Nashed
1455,1455,237803,Zhangcai,Qin,,56542374500,1,Zhangcai Qin
1457,1457,239655,Badri,Narayanan,,56373353900,1,Badri Narayanan
1461,1461,238659,Ambica,Pegallapati,K,42862322200,0.947368421,Ambica Pegallapati
1467,1467,231491,James,Jeffryes,G,56505457200,0.96969697,James G. Jeffryes
1468,1468,231188,YoonYoung,Choi,,56527530800,0.965517241,Yoon Young Choi
1474,1474,237045,Jingbo,Wang,,16647851400,0.909090909,Jinguo Wang
1476,1476,239195,Navamita,Ray,,55538220500,1,Navamita Ray
1477,1477,239441,Anh,Ngo,T,56425741400,0.947368421,Anh Tu Ngo
1479,1479,241423,Bo,Chen,,56223529800,1,Bo Chen
1484,1484,238262,Niya,Sa,,37087574900,1,Niya Sa
1485,1485,237802,Chen,Liao,,56479779000,1,Chen Liao
1489,1489,242224,Jing,Yu,,55682100700,0.933333333,Jiang Yu
1491,1491,234055,Sarah,Soltau,R,56442608100,0.965517241,Sarah R. Soltau
1493,1493,234261,Silvio,Rizzi,H,56392645200,0.923076923,Silvio Rizzi
1497,1497,237752,Lin,Chen,,56227630200,1,Lin Chen
1501,1501,245093,Michel,Schanen,,36615616400,1,Michel Schanen
1504,1504,239660,Ziyao,Zhou,,53867616700,1,Ziyao Zhou
1531,1531,240961,Baofei,Pan,,56539296600,1,Baofei Pan
1533,1533,232487,Joseph,Grange,M,32667734600,0.928571429,Joseph Grange
1537,1537,239263,Meinan,He,,55928548500,1,Meinan He
1542,1542,240296,Jonghun,Lee,,55761465600,0.909090909,Donghun Lee
1547,1547,232278,Linyun,Liang,,36057923400,1,Linyun Liang
1549,1549,231667,Zhiliang,Huang,,19639764000,1,Zhiliang Huang
1550,1550,234214,Joonseok,Lee,,56527855800,1,Joonseok Lee
1553,1553,233936,Jiahang,Shao,,55580271900,1,Jiahang Shao
1557,1557,241497,Dong,Liu,,56383094100,0.933333333,Dong Li
1579,1579,242005,Xuan,Zhang,,56306776200,1,Xuan Zhang
1583,1583,272161,Ala,Al-Azizi,A,55599398400,0.965517241,Ala A. Al-Azizi
