,Unnamed: 0,badge,firstname,lastname,middle,scopus,score,match_1
162,162,51754,Alex,Deriy,L,55062905800,0.909090909,Alex Deriy
164,164,53777,Axel,Hoffmann,F,7401903247,0.928571429,Axel Hoffmann
165,165,54144,Zhili,Xiao,,7402447249,1,Zhili Xiao
166,166,54728,Stefan,Vajda,,7005156134,1,Stefan Vajda
167,167,88072,Jong Woo,Kim,,55894773500,1,Jong Woo Kim
168,168,88814,Nagarajan,Venugopalan,,41662301500,1,Nagarajan Venugopalan
169,169,227141,Franck,Cappello,,7005573070,1,Franck Cappello
170,170,56985,Zhaopeng,Zhong,,8620503500,1,Zhaopeng Zhong
171,171,54203,Jie,Li,,55860517400,1,Jie Li
172,172,96772,Susan,Lopykinski,J,56423758100,0.972972973,Susan J. Lopykinski
174,174,51967,Micheal,Smith,A,55698430000,0.967741935,Micheal A. Smith
175,175,54166,Timothy,Madden,J,14219470300,0.933333333,Timothy Madden
176,176,54477,Dionissios,Papadias,D,12804040100,0.976744186,Dionissios D. Papadias
177,177,54880,Shabbir,Shamsuddin,,24332969700,1,Shabbir Shamsuddin
178,178,87740,Meimei,Li,,7405265328,1,Meimei Li
179,179,53932,James,Morgan,W,55330724400,0.965517241,James W. Morgan
180,180,54275,Anthony,Levand,F,6508344196,0.96969697,Anthony F. Levand
183,183,55244,Volodymyr,Yefremenko,G,8846875200,0.977777778,Volodymyr G. Yefremenko
185,185,51888,Krzysztof,Lazarski,Z,6505783558,0.947368421,Krzysztof Lazarski
186,186,53537,Peter,Mueller,,7401688008,1,Peter Mueller
188,188,56223,Amanda,Petford Long,K,7006562330,0.930232558,Amanda K. Petford-Long
189,189,51923,John,Krebs,F,25632485200,0.96,John F. Krebs
190,190,51934,Shaofei,Zhu,,56026391200,1,Shaofei Zhu
192,192,54002,Philip,Ryan,J,35313538200,0.962962963,Philip J. Ryan
193,193,54220,Stephen,Lomperski,W,56538774200,0.944444444,Stephen Lomperski
195,195,63352,Peter,Chupas,J,6602807071,0.965517241,Peter J. Chupas
198,198,63516,Lynn,Ribaud,W,24759461900,0.916666667,Lynn Ribaud
201,201,51790,John,Woodford,B,7005677481,0.928571429,John Woodford
202,202,52185,Theodore,Bohn,P,8333754600,0.967741935,Theodore P. Bohn
204,204,52311,Michael,Sternberg,G,11041691500,0.944444444,Michael Sternberg
205,205,52522,Donald,Lamb,Q,7202727497,0.962962963,Donald Q. Lamb
207,207,63945,Byeongdu,Lee,,56505805500,1,Byeongdu Lee
208,208,54273,Robert,Latham,J,35253699400,0.928571429,Robert Latham
210,210,216102,Marcellinus,Demarteau,W,56457844700,0.978723404,Marcellinus W. Demarteau
211,211,55880,Aleksandr,Obabko,,6505956134,1,Aleksandr Obabko
213,213,54280,Matthew,Kasa,T,38961482000,0.965517241,Matthew T. Kasa
214,214,51792,Hairong,Shang,,7102401014,1,Hairong Shang
215,215,52277,Phillip,Sharer,B,24781520400,0.96969697,Phillip B. Sharer
219,219,54137,James,Jerden,L,6602977641,0.965517241,James L. Jerden
221,221,64065,Ivan,Kuzmenko,,7004728062,1,Ivan Kuzmenko
224,224,24737,Michael,Samsa,E,36957219000,0.967741935,Michael E. Samsa
225,225,69253,Elena,Rozhkova,A,7004502391,0.96969697,Elena A. Rozhkova
226,226,52190,Peter,Ostroumov,N,7004913948,0.9375,Peter Ostroumov
227,227,51905,Carlos,Wagner,E,7402149218,0.9375,Carlos E M Wagner
228,228,54693,Raymond,Conley,P,7005089588,0.933333333,Raymond Conley
230,230,87791,Wenjun,Liu,,56176382900,1,Wenjun Liu
231,231,53399,Alexandre,Vaniachine,V,6505890058,0.977777778,Alexandre V. Vaniachine
233,233,54691,Thomas,Uram,D,6506717400,0.962962963,Thomas D. Uram
234,234,54105,Joseph,Adduci,J,36058324300,0.967741935,Joseph J. Adduci
235,235,54487,Thomas,Cecil,W,35974935600,0.965517241,Thomas W. Cecil
238,238,52055,Justin,Thomas,W,56358600700,0.928571429,Justin Thomas
239,239,51879,Aymeric,Rousseau,,13604921100,1,Aymeric Rousseau
242,242,53982,Amgad,Elgowainy,A,55868464400,0.9375,Amgad Elgowainy
251,251,55602,Richard,Spence,A,37006983000,0.96969697,Richard A. Spence
252,252,27096,Elliot,Kanter,P,35553763600,0.967741935,Elliot P. Kanter
253,253,31649,Raymond,Bair,A,56103689400,0.965517241,Raymond A. Bair
256,256,28252,Michael,Meshenberg,J,56184729200,0.947368421,Michael Meshenberg
257,257,28243,Gary,Zinkann,P,6602743824,0.923076923,Gary Zinkann
258,258,38878,Hoydoo,You,,7101663704,1,Hoydoo You
259,259,42424,Michael,North,,35345782800,1,Michael North
263,263,29992,Larry,Johnson,R,7404800023,0.967741935,Larry R. Johnson
264,264,39262,Craig,Roberts,D,55566950400,0.967741935,Craig D. Roberts
266,266,45933,Diane,Graziano,,54886150500,1,Diane Graziano
268,268,48969,Jin,Wang,,56483328800,1,Jin Wang
272,272,49123,William,Eschenfeldt,H,55402434600,0.976744186,William H. Eschenfeldt
273,273,46793,Joseph,Sullivan,,55451417700,1,Joseph Sullivan
276,276,46338,Jonathan,Lang,C,7402867117,0.967741935,Jonathan C. Lang
279,279,9803,Thomas,Kasprzyk,E,6602429068,0.971428571,Thomas E. Kasprzyk
280,280,9932,Edward,Ryan,A,7201794139,0.962962963,Edward A. Ryan
281,281,31830,Branko,Ruscic,,15075429800,1,Branko Ruscic
284,284,40909,James,Cunnane,C,6602835136,0.967741935,James C. Cunnane
288,288,28390,Stephen,Magill,R,8068241100,0.933333333,Stephen Magill
290,290,33257,Dennis,Dees,W,7004880102,0.962962963,Dennis W. Dees
293,293,44295,Michael,Papka,,6603782792,1,Michael Papka
295,295,34650,Elizabeth,Moog,R,7004356033,0.933333333,Elizabeth Moog
